osmid,y,x,street_count,highway,ref,geometry
112686793,41.1406576,-8.6096627,1,,,POINT (-8.6096627 41.1406576)
112688608,41.1432353,-8.5864628,3,,,POINT (-8.5864628 41.1432353)
112688628,41.144493,-8.5784099,3,,,POINT (-8.5784099 41.144493)
114310261,41.1620435,-8.5656998,3,,,POINT (-8.5656998 41.1620435)
114310686,41.1520715,-8.5749686,3,motorway_junction,1,POINT (-8.5749686 41.1520715)
114310696,41.1499065,-8.5786264,3,,,POINT (-8.5786264 41.1499065)
114310699,41.1491995,-8.5808614,3,,,POINT (-8.5808614 41.1491995)
114310705,41.1480176,-8.5815075,3,motorway_junction,1,POINT (-8.5815075 41.1480176)
114310714,41.1460615,-8.5794325,3,,,POINT (-8.5794325 41.1460615)
114312390,41.1512331,-8.5779888,3,,,POINT (-8.5779888 41.1512331)
114314002,41.1520746,-8.574699,3,,,POINT (-8.574699 41.1520746)
114315556,41.146385,-8.5796626,3,motorway_junction,1,POINT (-8.5796626 41.146385)
114315563,41.1475865,-8.5812331,3,motorway_junction,1,POINT (-8.5812331 41.1475865)
114315578,41.1495021,-8.5798341,3,,,POINT (-8.5798341 41.1495021)
114320429,41.1462573,-8.5791502,3,,,POINT (-8.5791502 41.1462573)
114320432,41.1462377,-8.5792721,3,,,POINT (-8.5792721 41.1462377)
114320445,41.1458821,-8.5793258,3,,,POINT (-8.5793258 41.1458821)
114320452,41.1458378,-8.5791579,3,,,POINT (-8.5791579 41.1458378)
114320458,41.1460517,-8.5788761,3,,,POINT (-8.5788761 41.1460517)
114320465,41.146241,-8.579047,3,,,POINT (-8.579047 41.146241)
114323948,41.1462924,-8.5787046,3,,,POINT (-8.5787046 41.1462924)
114324784,41.1455662,-8.5796527,3,,,POINT (-8.5796527 41.1455662)
122432550,41.1650366,-8.6308069,4,,,POINT (-8.6308069 41.1650366)
122432560,41.1637296,-8.6336666,3,,,POINT (-8.6336666 41.1637296)
122432561,41.1628949,-8.6352081,3,,,POINT (-8.6352081 41.1628949)
122432566,41.1625307,-8.6359462,3,,,POINT (-8.6359462 41.1625307)
122434048,41.1629893,-8.6350672,3,,,POINT (-8.6350672 41.1629893)
122439068,41.1647122,-8.6270836,4,,,POINT (-8.6270836 41.1647122)
122452407,41.1605506,-8.5934679,3,,,POINT (-8.5934679 41.1605506)
